,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
268,xining,24,CN,1554255704,32,36.62,101.77,45.38,1.45
269,muroto,20,JP,1554253200,23,33.37,134.14,53.6,10.29
270,ararat,80,AU,1554255116,43,-37.28,142.93,69.01,7.0
271,baghmara,0,IN,1554255710,63,23.8,86.21,76.07,5.59
272,tautira,75,PF,1554255143,66,-17.73,-149.15,87.8,12.75
273,nanortalik,68,GL,1554255712,96,60.14,-45.24,31.25,26.62
274,moose factory,90,CA,1554253200,55,51.26,-80.61,37.4,10.29
275,sosnovo-ozerskoye,76,RU,1554255715,46,52.53,111.54,33.5,9.28
276,poum,48,MK,1554255716,99,41.28,20.71,39.44,1.68
277,ambilobe,0,MG,1554255548,96,-13.19,49.05,69.68,2.91
278,bozuyuk,0,TR,1554254400,93,39.91,30.04,45.0,6.93
279,chanika,80,MW,1554255719,85,-12.93,34.19,71.3,9.17
280,tromso,75,NO,1554255201,74,69.65,18.96,37.4,26.4
281,leningradskiy,20,RU,1554255722,94,69.38,178.42,21.98,21.47
282,dzaoudzi,75,YT,1554253200,79,-12.79,45.27,84.2,12.75
283,bathsheba,75,BB,1554253200,74,13.22,-59.52,78.8,20.8
284,horsham,88,AU,1554255725,64,-36.71,142.2,71.57,6.38
285,gizo,0,IL,1554255707,81,31.8,34.94,52.0,3.36
286,sitka,8,US,1554255006,61,37.17,-99.65,52.0,8.99
287,severo-kurilsk,88,RU,1554255546,90,50.68,156.12,33.68,13.2
288,bay roberts,20,CA,1554255509,74,47.58,-53.28,32.0,16.11
289,saint-pierre,88,FR,1554255461,93,48.95,4.24,43.0,13.87
290,pando,20,UY,1554253200,83,-34.72,-55.96,73.4,20.36
291,tchollire,0,CM,1554255737,79,8.4,14.17,74.18,3.02
292,porto novo,75,BR,1554253200,94,-23.68,-45.44,68.0,4.7
293,kijang,0,KR,1554253200,23,35.24,129.21,51.8,10.29
294,sur,24,OM,1554255741,81,22.57,59.53,80.03,4.7
295,chiang khong,100,LA,1554255694,78,20.27,100.41,77.0,2.24
296,oranjestad,20,AW,1554253200,78,12.52,-70.03,78.8,14.99
297,aitape,36,PG,1554255745,83,-3.15,142.36,85.97,8.16
298,hovd,0,NO,1554255317,52,63.83,10.7,41.0,17.22
299,arlit,0,NE,1554255748,35,18.74,7.39,72.56,4.59
300,russell,0,AR,1554253200,57,-33.01,-68.8,75.2,2.24
301,fukue,20,JP,1554255596,39,35.03,136.69,54.0,19.46
302,amapa,40,HN,1554253200,78,15.09,-87.97,80.6,11.41
303,fort nelson,90,CA,1554253200,64,58.81,-122.69,32.0,4.7
304,ipixuna,75,BR,1554253200,88,-1.76,-48.8,78.8,4.7
305,isangel,75,VU,1554253200,62,-19.55,169.27,89.6,13.87
306,san pedro,8,AR,1554255759,84,-33.68,-59.66,73.73,10.96
307,lazaro cardenas,40,MX,1554252300,13,28.39,-105.62,77.0,10.29
308,palana,88,RU,1554255762,68,59.08,159.95,36.65,11.18
309,cam ranh,20,VN,1554253200,62,11.92,109.15,87.8,4.7
310,challans,92,FR,1554255726,86,46.85,-1.88,43.0,14.99
311,vila franca do campo,75,PT,1554255624,87,37.72,-25.43,55.0,14.99
312,port hedland,90,AU,1554253200,100,-20.31,118.58,78.8,6.93
313,vouliagmeni,20,GR,1554255665,37,37.81,23.78,55.99,17.22
314,arcachon,92,FR,1554255650,81,44.65,-1.18,48.2,11.41
315,fort myers beach,75,US,1554255561,73,26.45,-81.95,73.4,8.05
316,alice springs,0,AU,1554253200,22,-23.7,133.88,75.2,14.99
317,lieksa,12,FI,1554255773,79,63.32,30.02,27.56,7.27
318,pahrump,40,US,1554255544,19,36.21,-115.98,71.01,28.86
319,qixingtai,92,CN,1554255775,78,30.41,111.89,60.05,4.81
320,ternate,20,PH,1554255571,51,14.29,120.72,89.01,9.17
321,komsomolskiy,88,RU,1554255778,93,67.55,63.78,24.32,20.02
322,egvekinot,32,RU,1554255779,91,66.32,-179.17,25.31,3.69
323,alakurtti,80,RU,1554255310,79,66.96,30.34,28.99,4.0
324,necochea,0,AR,1554254890,47,-38.55,-58.74,57.0,1.99
325,douglas,1,US,1554255778,14,31.34,-109.55,71.6,20.8
326,tommot,92,RU,1554255785,79,58.97,126.27,28.73,3.58
327,tilichiki,64,RU,1554255614,85,60.47,166.1,35.57,14.88
328,bereda,92,ES,1554255605,93,43.27,-7.54,51.01,5.82
329,suntar,44,RU,1554255790,65,62.16,117.65,35.39,5.14
330,riyadh,0,SA,1554253200,55,24.63,46.72,60.8,3.36
331,istiaia,0,GR,1554255604,86,38.96,23.15,55.0,4.7
332,tomatlan,8,MX,1554255793,86,19.93,-105.25,66.17,2.68
333,wadi musa,56,JO,1554255795,79,30.32,35.48,44.66,1.9
334,kawalu,20,ID,1554255796,83,-7.38,108.21,74.99,2.46
335,khandagayty,20,MN,1554255797,67,50.73,92.07,40.88,1.9
336,katsuura,20,JP,1554255252,46,33.93,134.5,50.0,9.17
337,coihaique,0,CL,1554253200,58,-45.58,-72.07,53.6,6.93
338,xam nua,36,LA,1554255801,91,20.42,104.04,68.78,2.57
339,ouesso,32,CG,1554255802,96,1.61,16.05,72.83,2.24
340,gambela,20,ET,1554255803,63,8.25,34.59,63.38,3.24
341,demirci,0,TR,1554255807,89,39.05,28.66,27.38,2.35
342,gamba,0,CN,1554255808,81,28.28,88.52,16.49,3.13
343,namibe,0,AO,1554255809,100,-15.19,12.15,79.22,6.49
344,pauini,32,BR,1554255811,89,-7.71,-67.0,80.3,1.9
345,great yarmouth,12,GB,1554255803,100,52.61,1.73,35.01,5.82
346,narsaq,80,GL,1554252600,87,60.91,-46.05,32.0,9.17
347,marzuq,8,YE,1554255815,87,14.4,46.47,50.33,2.68
348,terrace,75,CA,1554253200,20,54.52,-128.61,62.6,8.05
349,kasempa,8,ZM,1554255818,78,-13.46,25.83,63.56,6.93
350,sao filipe,0,CV,1554255819,99,14.9,-24.5,69.77,14.76
351,gouyave,75,GD,1554253200,94,12.16,-61.73,73.4,11.41
352,chapais,90,CA,1554254760,92,49.78,-74.86,30.2,12.75
353,sorong,36,ID,1554255823,96,-0.86,131.25,84.26,9.95
354,bud,36,NO,1554255128,86,62.91,6.91,39.2,3.36
355,pocao de pedras,36,BR,1554255825,97,-4.67,-44.85,73.73,2.13
356,mengcheng,8,CN,1554255826,65,33.26,116.57,65.72,10.96
357,naze,24,NG,1554255828,92,5.43,7.07,76.52,6.26
358,dwarka,0,IN,1554253200,56,28.58,77.04,68.0,5.14
359,buluang,20,PH,1554253200,62,10.47,123.98,84.2,9.17
360,iralaya,56,HN,1554255831,85,15.0,-83.23,79.85,8.95
361,vinh,32,VN,1554255832,92,18.67,105.69,79.4,3.58
362,ariquemes,56,BR,1554255697,89,-9.91,-63.03,77.42,1.57
363,utinga,40,BR,1554253200,94,-5.82,-35.4,80.6,4.7
364,vaasa,0,FI,1554255765,64,63.1,21.62,35.01,6.93
365,bahia honda,0,CU,1554255838,77,22.9,-83.16,74.72,5.37
366,pisco,0,PE,1554253200,88,-13.71,-76.2,69.8,17.22
367,champerico,20,MX,1554252120,69,16.38,-93.6,73.4,16.11
368,chengde,0,CN,1554255842,22,40.97,117.93,59.87,6.6
369,vestmannaeyjar,0,IS,1554255843,96,63.44,-20.27,32.69,12.08
370,tezu,92,IN,1554255844,90,27.93,96.16,52.49,1.57
371,grand gaube,20,MU,1554253200,83,-20.01,57.66,77.0,7.72
372,garden city,90,US,1554255843,80,40.73,-73.63,45.0,6.93
373,faya,0,SA,1554253200,71,18.39,42.45,60.8,6.93
374,belyy yar,0,RU,1554253200,51,53.6,91.39,37.4,11.18
375,carballo,92,ES,1554255851,93,43.21,-8.69,52.0,5.82
376,poso,32,ID,1554255853,100,-1.4,120.75,81.92,4.14
377,tevriz,68,RU,1554255854,82,57.51,72.4,30.53,3.36
378,ossora,92,RU,1554255856,94,59.24,163.07,33.32,20.24
379,takaka,48,NZ,1554255851,58,-40.86,172.81,66.99,5.99
380,hervey bay,75,AU,1554255628,57,-25.3,152.85,84.0,14.99
381,kenai,1,US,1554255724,56,60.55,-151.26,48.0,5.82
382,novosergiyevka,92,RU,1554255861,94,52.08,53.65,37.28,18.23
383,kalmunai,0,LK,1554255862,80,7.42,81.82,82.1,4.14
384,glens falls,1,US,1554255841,41,43.31,-73.64,46.4,8.05
385,khorramshahr,0,IR,1554253200,55,30.43,48.18,64.4,9.17
386,san cristobal,90,EC,1554255121,87,-0.39,-78.55,57.2,3.36
387,wanning,12,AT,1554255790,61,48.64,13.53,50.0,6.93
388,verkhnevilyuysk,0,RU,1554255868,68,63.45,120.31,34.67,5.59
389,juba,12,EE,1554255615,86,57.82,26.93,33.01,2.24
390,bonoua,20,CI,1554253200,74,5.27,-3.6,84.2,1.12
391,lasa,0,CY,1554255040,87,34.92,32.53,51.8,5.82
392,gombong,12,ID,1554255873,74,-7.19,109.31,82.1,3.13
393,gornyak,0,KZ,1554255874,87,51.0,81.46,37.37,3.36
394,ulladulla,20,AU,1554255094,47,-35.36,150.48,75.2,8.05
395,rosetown,0,CA,1554255838,48,51.55,-107.99,34.0,8.16
396,kisangani,56,CD,1554255878,100,0.52,25.21,70.94,2.24
397,certegui,88,CO,1554255879,98,5.37,-76.6,74.63,2.24
398,tessalit,0,ML,1554255881,26,20.2,1.01,69.32,7.94
399,vila velha,0,BR,1554255490,83,-3.71,-38.6,82.0,4.7
400,risch,90,CH,1554255787,87,47.13,8.46,55.4,7.27
401,glasgow,75,GB,1554255758,94,55.86,-4.24,42.01,8.05
402,kulhudhuffushi,8,MV,1554255887,100,6.62,73.07,82.73,3.02
403,baherden,0,TM,1554255890,70,38.44,57.43,49.07,4.47
404,nemuro,75,JP,1554253200,64,43.32,145.57,33.8,4.7
405,rawdon,90,CA,1554255889,44,46.05,-73.71,44.01,4.7
406,port pirie,0,AU,1554253200,24,-33.18,138.01,82.4,11.41
407,lalibela,8,ET,1554255894,96,12.04,39.05,46.73,2.13
408,arnissa,36,GR,1554255725,99,40.79,21.84,46.99,1.99
409,nokaneng,92,BW,1554255897,27,-19.66,22.19,74.0,12.3
410,namatanai,48,PG,1554255899,98,-3.66,152.44,83.36,9.95
411,southbridge,1,US,1554255806,64,42.08,-72.03,43.0,10.29
412,kanye,36,BW,1554255902,88,-24.98,25.34,61.31,15.55
413,port macquarie,40,AU,1554255605,57,-31.43,152.91,78.01,4.7
414,zhangjiakou,0,CN,1554255904,68,40.77,114.88,49.88,4.14
415,nagybajom,68,HU,1554255786,27,46.39,17.51,48.99,5.01
416,frontera,90,MX,1554252240,83,18.53,-92.64,73.4,5.82
417,sechura,24,PE,1554255908,79,-5.56,-80.82,74.27,9.73
418,touros,40,BR,1554253200,94,-5.2,-35.46,78.8,4.7
419,nyurba,0,RU,1554255910,64,63.29,118.35,35.03,5.82
420,margate,75,AU,1554255854,62,-43.03,147.26,59.0,19.46
421,hamilton,75,CA,1554255820,60,43.26,-79.87,44.01,8.05
422,auki,20,NG,1554255915,29,12.18,6.51,71.57,7.61
423,charters towers,20,AU,1554255916,77,-20.07,146.27,80.84,11.74
424,campos sales,56,BR,1554255918,95,-7.07,-40.37,68.06,4.03
425,winchester,12,GB,1554255910,92,51.06,-1.31,36.0,1.12
426,cananea,1,MX,1554255808,14,30.98,-110.3,70.0,16.11
427,krapivinskiy,0,RU,1554253200,79,55.0,86.81,32.0,8.95
428,bichena,88,ET,1554255923,94,10.45,38.2,56.9,2.13
429,nouadhibou,64,MR,1554253200,82,20.93,-17.03,64.4,2.24
430,san juan,40,PR,1554255654,78,18.47,-66.12,80.6,8.05
431,gorom-gorom,0,BF,1554255927,56,14.45,-0.24,75.89,3.58
432,spring valley,75,US,1554255927,69,41.11,-74.04,45.0,8.05
433,boffa,80,GN,1554255930,86,10.18,-14.04,76.88,3.91
434,brownsville,90,US,1554255903,82,25.91,-97.49,66.2,6.93
435,byron bay,75,AU,1554255705,65,-28.65,153.62,78.01,18.34
436,cumana,20,VE,1554253200,83,10.46,-64.17,80.6,4.36
437,aleksandrovskoye,0,RU,1554255916,74,56.74,85.39,32.0,6.71
438,kiama,20,AU,1554255925,47,-34.67,150.86,75.2,8.05
439,yarada,40,IN,1554253200,88,17.65,83.27,78.8,4.7
440,biak,64,ID,1554255941,95,-0.91,122.88,80.39,3.47
441,chaozhou,75,CN,1554253200,88,23.66,116.62,66.2,6.71
442,tamandare,8,BR,1554255943,92,-8.28,-70.75,78.23,2.46
443,tucuman,0,PE,1554255946,89,-17.17,-70.89,55.73,2.46
444,vao,0,EE,1554255825,76,59.1,26.19,25.58,6.93
445,enshi,92,CN,1554255948,100,30.29,109.48,48.08,1.9
446,bilibino,0,RU,1554255598,75,68.06,166.44,34.13,3.13
447,shetpe,68,KZ,1554255951,94,44.14,52.16,43.22,18.79
448,laguna,75,MX,1554252480,41,27.52,-110.01,77.0,5.82
449,willowmore,48,ZA,1554255955,90,-33.3,23.49,38.45,1.79
450,ludza,0,LV,1554255957,72,56.55,27.72,23.42,4.47
451,tigil,36,RU,1554255958,86,57.8,158.67,38.27,16.33
452,lompoc,90,US,1554255939,100,34.64,-120.46,60.01,8.05
453,mehamn,80,NO,1554255576,87,71.03,27.85,25.85,2.91
454,loiza,40,PR,1554255944,78,18.43,-65.88,80.6,8.05
455,port augusta,0,AU,1554255501,24,-32.49,137.76,82.4,11.41
456,comodoro rivadavia,0,AR,1554253200,36,-45.87,-67.48,64.4,10.29
457,forestville,40,CA,1554253200,51,48.74,-69.09,37.4,4.7
458,kupang,40,ID,1554253200,74,-10.16,123.6,86.0,3.36
459,salmo,0,CA,1554255968,69,49.19,-117.28,34.94,1.79
460,lilongwe,8,MW,1554255969,89,-13.97,33.79,57.53,6.93
461,tianpeng,88,CN,1554255970,98,28.88,112.34,55.19,14.54
462,diego de almagro,80,CL,1554255971,83,-26.39,-70.05,58.7,2.46
463,mayo,90,CA,1554253200,37,63.59,-135.9,37.4,12.75
464,ngunguru,92,NZ,1554255485,67,-35.62,174.5,70.0,5.99
465,port moresby,20,PG,1554253200,66,-9.47,147.16,87.8,11.41
466,cabedelo,0,BR,1554253200,94,-6.97,-34.84,78.8,3.36
467,marsala,0,IT,1554255670,87,37.8,12.44,57.0,4.7
468,rocha,64,UY,1554255979,90,-34.48,-54.34,65.99,7.72
469,shadegan,0,IR,1554253200,72,30.65,48.67,64.4,11.41
470,sorland,76,NO,1554255981,93,67.67,12.69,41.15,18.12
471,anton lizardo,90,MX,1554252000,83,19.05,-95.98,69.8,6.93
472,kishanganj,92,IN,1554255984,94,26.1,87.95,67.07,6.26
473,christchurch,0,NZ,1554255937,44,-43.53,172.64,61.0,4.7
474,paita,32,PE,1554255986,72,-5.09,-81.11,74.9,4.92
475,port-cartier,90,CA,1554255920,80,50.03,-66.88,32.0,9.17
476,san carlos de bariloche,0,AR,1554253200,49,-41.13,-71.31,46.4,2.24
477,vangaindrano,32,MG,1554255991,98,-23.35,47.6,69.68,2.35
478,irtyshskiy,68,RU,1554255993,85,58.33,68.13,27.2,2.46
479,mogok,12,MM,1554255994,85,22.92,96.51,69.23,2.13
480,broken hill,0,AU,1554253200,26,-31.97,141.45,78.8,2.24
481,braganca,76,BR,1554255997,95,-1.05,-46.77,76.07,4.14
482,amatitan,5,MX,1554252420,12,20.83,-103.72,80.6,8.05
483,rosarito,75,CO,1554253200,100,4.91,-75.23,69.8,2.24
484,ust-tsilma,48,RU,1554256000,84,65.44,52.15,29.0,6.93
485,qinzhou,88,CN,1554256002,100,21.96,108.62,74.09,5.14
486,deputatskiy,0,RU,1554256003,83,69.3,139.9,11.36,3.91
487,rio bananal,24,BR,1554256004,91,-19.26,-40.34,70.31,2.91
488,pangai,20,TO,1554253200,69,-19.8,-174.35,82.4,12.75
489,hofn,0,IS,1554256007,100,64.25,-15.21,27.29,7.94
490,muravlenko,0,RU,1554256008,84,63.79,74.5,21.89,12.75
491,myingyan,20,MM,1554251400,73,21.46,95.39,73.4,3.36
492,itarema,80,BR,1554256010,97,-2.92,-39.92,76.07,3.36
493,estacion coahuila,1,MX,1554253140,16,32.19,-115.0,84.2,10.29
494,goderich,80,CA,1554255997,68,43.74,-81.71,44.01,4.0
495,thomasville,1,US,1554255751,100,35.88,-80.08,42.01,2.68
496,bogale,0,MM,1554256016,72,16.29,95.4,86.15,4.36
497,constitucion,75,MX,1554252360,11,23.99,-104.67,73.4,16.11
498,longyearbyen,75,NO,1554252600,71,78.22,15.63,8.6,3.36
499,tocopilla,44,CL,1554256021,100,-22.09,-70.2,59.78,0.67
500,vydrino,48,RU,1554256022,62,51.46,104.64,44.21,7.61
501,pryozerne,0,UA,1554253200,35,49.42,24.47,39.2,13.42
502,madison,1,US,1554255860,52,43.07,-89.38,46.4,9.17
503,crixas,8,BR,1554256027,89,-14.55,-49.97,71.93,2.57
504,la rioja,0,AR,1554256028,85,-29.41,-66.86,70.13,2.91
505,lianzhou,100,CN,1554256030,95,24.79,112.38,65.54,1.57
506,arraial do cabo,8,BR,1554255826,99,-22.97,-42.02,74.9,7.16
507,zhuji,75,CN,1554255905,93,29.72,120.23,57.99,2.24
508,warrnambool,100,AU,1554256029,91,-38.38,142.48,62.01,4.0
509,kabwe,0,ZM,1554256035,60,-14.44,28.44,65.36,12.19
510,marrakesh,20,MA,1554253200,67,31.63,-7.99,59.0,9.17
511,wewak,32,PG,1554256038,83,-3.55,143.63,84.26,2.13
512,dhidhdhoo,8,MV,1554256039,100,6.88,73.1,82.73,3.02
513,presidente dutra,56,BR,1554256040,93,-11.3,-41.99,66.53,4.81
514,buraydah,0,SA,1554253200,59,26.33,43.97,60.8,4.7
515,severobaykalsk,92,RU,1554256043,87,55.65,109.32,24.05,3.24
516,kabinda,8,CD,1554256044,95,-6.14,24.49,67.97,2.91
517,yenagoa,8,NG,1554256045,94,4.92,6.26,77.42,6.04
518,san quintin,32,PH,1554256047,84,17.54,120.52,79.13,0.78
519,sola,0,NO,1554255619,52,58.89,5.65,45.0,8.05
520,hambantota,20,LK,1554253800,100,6.12,81.12,75.2,2.24
521,yima,24,CN,1554255891,22,34.75,111.87,66.0,1.01
522,torbay,20,CA,1554255993,74,47.66,-52.73,33.01,16.11
523,tamuin,76,MX,1554256053,59,21.98,-98.75,72.47,6.15
524,polikhronon,8,GR,1554255724,46,40.02,23.53,54.0,10.63
525,jejuri,0,IN,1554256055,57,18.28,74.16,75.08,4.92
526,sao felix do xingu,0,BR,1554256026,99,-6.64,-51.99,73.37,2.13
527,wajima,75,JP,1554253200,65,37.4,136.9,41.0,9.17
528,mundo nuevo,90,CL,1554253200,93,-32.72,-71.41,57.2,3.36
529,santa cruz,90,US,1554256056,87,36.97,-122.03,61.0,6.93
530,tottori,20,JP,1554253200,49,35.5,134.23,48.2,3.36
531,enid,1,US,1554255936,51,36.4,-97.88,62.6,5.82
532,kindu,56,CD,1554256066,91,-2.95,25.92,72.38,0.89
533,salym,8,RU,1554256068,83,60.06,71.48,28.64,3.58
534,iracoubo,92,GF,1554256069,75,5.48,-53.21,78.95,5.7
535,klaksvik,64,FO,1554254400,80,62.23,-6.59,33.8,35.57
